x1,T/K,y1
,,
0,"474,03",0
,,
0,"463,81",0
,,
0,"453,6",1
,,
0,"425,76",1
,,
0,"389,51",1
,,
0,"367,58",1
,,
0,"345,35",1
,,
0,"338,24",1
,,
0,"328,52",1
,,
1,"304,69",1
,,
1,"299,59",1
,,
1,"298,88",1
